Hindi,English
मेकअप,Makeup
भूत,Evil spirit
बनते,Bun
प्रशंसा,Appreciation
प्रतिदिन,daily
पूछ,Ask
दबाव,Pressure
दण्ड,Punishment
टुकड़े,pieces
गहराई,depth
खींच,Stretch
उर्वरक,Fertilizer
हिंसा,violence
साधना,meditation
सेवाओं,Services
सर्वथा,Utterly
लेखन,Writing
परेशानी,Trouble
प्रताप,Pratap
पेड़ों,Trees
चेष्टा,effort
व्याकरण,Grammer
लाइसेंस,License
ललित,Lalit
रूस,Russia
मील,Mile
बर्फ,Ice
पाप,Sin
पुत्री,Daughter
दफ्तर,Workplace
जानवर,Animal
गाने,Songs
कार्यकर्ता,Worker
कलाकारों,Artists
करता,Do
उत्पाद,product
आएँ,Come
सोचते,Thinking
सीख,Learn
सास,Mother in law
वीणा,Veena
यूरेनियम,Uranium
मौलिक,Original
मारने,Kill
मुहम्मद,Muhammad
बिल,Bill
बचत,Savings
प्रावधान,Provision
पचास,fifty
नागरिक,citizen
नेहरू,Nehru
देन,Din
गिरने,Fall
गहरे,Deep
उपन्यास,Novel
इलाके,the areas
आन्तरिक,Internal
हिन्दुस्तान,Hindustan
संसद,Parliament
स्वीकृति,Acceptance
संपर्क,Contact
विभाजन,Division
लौटने,Return
यूरोप,Europe
मंच,Forum
भाग्य,Luck
बेहद,Extremely
बुलाया,called
पाए,Found
प्रयोगशाला,the laboratory
प्रमाणित,Certified
प्रभावशाली,Impressive
जीत,Victory
जानवरों,Animals
गुस्से,Anger
गर्दन,Neck
गुरू,Guru
अधिकतम,Maximum
सृष्टि,Nature
शिक्षित,Educated
शहद,Honey
वरन,Varan
रोम,Rome
बदन,body
फैला,Split
फेंक,Throw
पिछड़े,Backward
परिश्रम,Hard work
परिवारों,Families
परिभाषा,Definition
प्रारम्भिक,Initial
पुरुषों,Men
निरीक्षण,Inspection
दास,Slave
देव,God
ताकत,Strength
तंत्र,Mechanism
तत्कालीन,contemporaneous
तकनीक,Technique
चलाने,Run
गठन,Build
अनुभूति,Feeling
हिन्दुओं,Hindus
हिंदू,Hindu
हालांकि,Although
सामूहिक,the collective
सरकारों,Governments
संयंत्र,plant
सुंदर,Beautiful
सृजन,Creation
वैसी,Likely
लावनी,Lavani
लक्षणों,Symptoms
राहुलजी,Rahul ji
युवा,Youth
मूर्ति,Sculpture
बेर,Berry
पाण्डु,Pandu
ध्रुपद,Dhrupad
तथ्यों,Facts
ढेर,A lot
जायें,Go
ग्रन्थों,Texts
गणित,Mathematic
कहानियों,Stories
अशोक,Ashoka
साबित,Proven
समझना,Understand
संज्ञा,Noun
शांत,Calm
श्रीलंका,Sri Lanka
श्रमिक,Laborer
शर्त,Condition
लिपि,Script
मानवीय,human
पक्षियों,Birds
निवासी,Resident
तुलनात्मक,Comparative
चमक,Glow
गोल,Round
खाकर,after eating
कोट,Coat
इंच,Inch
आसन,Posture
अकेला,Lonely
शर्मा,Sharma
विश्वविद्यालय,university
विधायक,Legislator
वर्मा,Varma
वैद्य,Vaidya
राजस्थानी,Rajasthani
मानना,Accept
भरपूर,abundant
भगत,follower
बस्ती,colony
बैठने,Sit
प्रतिभा,Talent
प्रजा,People
प्रकोप,the outbreak
नायक,hero
दोस्त,Friend
तिवारी,Tiwari
घड़ी,Watch
गलती,Mistake
कार्बन,Carbon
उपचार,remedy
ईसाई,Christian
आवेदन,Application
आयुर्वेद,Ayurveda
आदर,Respect
अत्याचार,Atrocity
हिमालय,Himalaya
हंस,Swan
सोचता,Thinking
विश्वनाथ,Vishwanath
वेतन,Salary
मथुरा,Mathura
भाभी,Sister in law
भेजे,Sent
ब्यूरो,Bureau
बनती,Manufacture
पक्षों,Sides
घरेलू,domestic
गणना,Calculation
कहलाता,Calling
कलावती,Kalavati
करना,Doing
उदाहरणार्थ,For example
उड़,Flying
आघात,the strokes
हमला,assault
व्यावसायिक,commercial
लोकप्रिय,popular
रेलवे,railway
मिश्रित,miscellaneous
महान,Great
मेहनत,Hard work
बिन्दु,the dot
फलतः,Consequently
प्रोफेसर,Professor
प्रचलन,the trend
औसत,average
एकाएक,Suddenly
उपस्थिति,Presence
उन्नति,Development
आधे,Half
अली,Ali
सरस्वती,Saraswati
समर्थ,Capable
सम्भवतः,Probably
सड़कों,Roads
विशेषज्ञ,expert
विद्रोह,Rebellion
वात,Air
व्यस्त,Busy
लाकर,Lacquer
राव,Rao
योजनाओं,Plans
मंत्र,mantra
बताने,tell
बताते,Telling
प्रश्नों,Questions
पकड़ा,caught
नोट,Note
निवेदन,Request
न्याय,Justice
धूल,dust
दाने,Grain
दान,Donation
देवीगढ़,Devigarh
तरल,liquid
कोरियाई,Korean
किलोमीटर,Kilometer
किताब,Book
क्षमा,Forgiveness
इंजन,engine
आए,Returns
असफल,fail
हल्की,Mild
सावित्री,Savitri
सरदार,Sardar
सगर्भता,Sarcasia
शुभ,Good
लहर,Wave
लेखा,Account
मासिक,Monthly
मद्रास,Madras
मंगल,Fortunate
भली,Good
भेजने,Send
बिजलीघर,Electricity house
बनाता,Create
पवित्र,Holy
परिषद,council
परि,Angel
पूछा,Asked
नौकर,Servant
निकालकर,by removing
नासिक्य,Nashikya
तापमान,temperature
तरीका,Method
झूठ,Lie
जाती,Jet
छुट्टी,Holiday
घाट,Ghat
गोबर,Cow dung
कामों,Works
कश्मीर,Kashmir
ऊंची,Tall
उन्नत,Advanced
आजाद,Azad
आग्रह,request
अमृतसर,Amritsar
अनु,Compliance
अद्भुत,Wonderful
अतः,Therefore
सिखों,Sikhs
साधु,Saint
संदेश,Message
लिखित,theory
लेप,Paste
मर्यादा,Limit
मेज,Table
मुख्यतः,Mainly
भाजपा,B J P
बेकार,Useless
पैदावार,yield
नाश,Destruction
दलों,Parties
जापान,Japan
गोपाल,Gopal
कोशिकाओं,Cells
काटने,Cutting
कूद,Jump
उपदेश,Sermon
उड़ान,flight
अंतरिक्ष,space
सहसा,Suddenly
व्यास,Diameter
मित्रों,Friends
भोग,Indulgence
बुला,Call
प्रातः,In the morning
पढ़ा,Read
पढ़ते,Reading
घोड़ा,Horse
गुफा,Cave
खुल,Open
खुराक,diet
उपायों,Measures
उपयोगिता,utility
इलाज,Treatment
आवाज़,sound
आलू,Potato
हटा,Remove
स्वस्तिक,Swastika
समीक्षा,Review
संक्रमण,Infection
सैकड़ों,Hundreds
शोर,Noise
शब्दावली,vocabulary
यौगिक,compound
मना,deny
मंडल,Board
बचने,Escape
प्रेमनाथ,Premnath
परम,Supreme
निधि,Fund
नेताजी,Netaji
चुनौती,challenge
गौतम,Gautam
खिड़की,window
किस्में,Varieties
करते,Do
कटाई,Harvesting
असाधारण,Extraordinary
स्मरण,Reconciliation
समग्र,Overall
सुनी,Listening
रेडियो,radio
मामूली,Mild
बीमार,Sick
फायदा,Benefit
पुराणों,Puranas
प्रस्तावों,Proposals
प्रधानता,Primacy
पन्द्रह,Fifteen
नाव,boat
तुल्फ,Tulf
तत्काल,Immediately
जोड़ा,couple
चाल,Speed
चूहे,mice
चलना,Walking
गाया,Sung
गला,Neck
खैर,So
कोर्ट,Court
कराना,Do
कंपनी,company
इसने,He
इनको,To them
अर्थव्यवस्था,economy
अंचल,Zone
हल्का,Light
सुनिश्चित,Assured
वरना,Otherwise
बुनियादी,Basic
दैनिक,Daily
जुड़े,Linked
घुस,Penetration
खुली,open
कुमार,Youth
कुमाऊँ,Kumaon
आंगन,Courtyard
